procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0    933     14    767    0    0     0     0    0 1400 90  1  9  0  0  0 2025-12-22 10:49:13
 1  0      0    933     14    767    0    0     0     0    0 1678 91  0  9  0  0  0 2025-12-22 10:49:14
 1  0      0    933     14    767    0    0     0     0    0 1956 91  0  9  0  0  0 2025-12-22 10:49:15
 1  0      0    933     14    767    0    0     0     0    0 1664 91  0  9  0  0  0 2025-12-22 10:49:16
 1  0      0    933     14    767    0    0     0     0    0 1918 90  0 10  0  0  0 2025-12-22 10:49:17
 1  0      0    933     14    767    0    0     0     8    0 1131 91  0  9  0  0  0 2025-12-22 10:49:18
 1  0      0    933     14    767    0    0     0     0    0 1130 91  0  9  0  0  0 2025-12-22 10:49:19
 1  0      0    933     14    767    0    0     0     0    0   80 91  0  9  0  0  0 2025-12-22 10:49:20
 1  0      0    933     14    767    0    0     0     0    0   79 91  0  9  0  0  0 2025-12-22 10:49:21
 1  0      0    933     14    767    0    0     0     0    0   67 91  0  9  0  0  0 2025-12-22 10:49:22
 1  0      0    933     14    767    0    0     0     0    0   66 91  0  9  0  0  0 2025-12-22 10:49:23
 1  0      0    933     14    767    0    0     0    16    0   91 91  0  9  0  0  0 2025-12-22 10:49:24
 1  0      0    933     14    767    0    0     0     0    0   87 91  0  9  0  0  0 2025-12-22 10:49:25
 1  0      0    933     14    767    0    0     0     0    0   96 91  0  9  0  0  0 2025-12-22 10:49:26
 1  0      0    933     14    767    0    0     0     0    0  361 90  1  9  0  0  0 2025-12-22 10:49:27
 1  0      0    933     14    767    0    0     0     0    0 1983 91  0  9  0  0  0 2025-12-22 10:49:28
 1  0      0    933     14    767    0    0     0     0    0 1932 91  0  9  0  0  0 2025-12-22 10:49:29
 1  0      0    945     14    767    0    0     0    16    0 1752 91  0  9  0  0  0 2025-12-22 10:49:30
 1  0      0    934     14    768    0    0     0     0    0  637 90  2  7  0  0  0 2025-12-22 10:49:31
 1  0      0    934     14    768    0    0     0     0    0   66 91  0  9  0  0  0 2025-12-22 10:49:32
 1  0      0    934     14    768    0    0     0     0    0   70 91  0  9  0  0  0 2025-12-22 10:49:33
 1  0      0    934     14    768    0    0     0     0    0  156 91  0  9  0  0  0 2025-12-22 10:49:34
 1  0      0    934     14    768    0    0     0     0    0  146 91  0  9  0  0  0 2025-12-22 10:49:35
 1  0      0    934     14    768    0    0     0     0    0  147 90  0 10  0  0  0 2025-12-22 10:49:36
 1  0      0    378     14    768    0    0     0     0    0   78 46 44 10  0  0  0 2025-12-22 10:49:37
 1  0      0    481     14    768    0    0     0     0    0   72 76 12 12  0  0  0 2025-12-22 10:49:38
 2  0      0    111      1    656    0    0     0     0    0  408 74 18  8  0  0  0 2025-12-22 10:49:39
 1  0      0    507      0    318    0    0    20     0    0 2257 74 22  4  0  0  0 2025-12-22 10:49:40
 1  0      0    507      0    318    0    0    40     0    0 1680 90  0 10  0  0  0 2025-12-22 10:49:41
 1  0      0    507      0    318    0    0     0     0    0 1419 90  0 10  0  0  0 2025-12-22 10:49:42
 1  0      0    507      0    318    0    0   140     0    0 1679 90  1  9  0  0  0 2025-12-22 10:49:43
 1  0      0    507      0    318    0    0     0     0    0 1152 90  0 10  0  0  0 2025-12-22 10:49:44
 1  0      0   1440      0    318    0    0   112     0    0 1179 87  3  9  1  0  0 2025-12-22 10:49:45
